Orion City,6.941225,79.879572,Coworking Space,Professional & Other Places,4555,618
V+ Team Area,6.940612,79.879523,Coworking Space,Professional & Other Places,2771,46
Virtusa Gym,6.940326,79.879671,Gym,Outdoors & Recreation,1919,111
ISM APAC,6.941447,79.879977,Office,Professional & Other Places,496,15
Orion Food Court,6.941276,79.880337,Food Court,Food,3960,356
Dematagoda Railway Station,6.937588,79.878888,Train Station,Travel & Transport,3466,543
Virtusa Cafeteria,6.940741,79.879873,Cafeteria,Food,2159,219
Virtusa EAG,6.940629,79.879569,Building,Professional & Other Places,393,14
Virtusa Office 04,6.941203,79.880786,Coworking Space,Professional & Other Places,750,41
Virtusa Anton Building,6.941882,79.879643,Tech Startup,Professional & Other Places,704,110
NYL Project Area - Virtusa,6.941081,79.880748,Coworking Space,Professional & Other Places,360,6
Dematagoda Flyover,6.936985,79.878341,Road,Travel & Transport,910,209
HelloCorp,6.940743,79.878888,Office,Professional & Other Places,885,32
Cherubium Lanka (Pvt) Ltd.,6.938231,79.877953,Building,Professional & Other Places,52,4
SimCentric Technologies,6.941236,79.879583,Office,Professional & Other Places,330,4
Virtusa Car Park,6.940718,79.879856,Parking,Professional & Other Places,1085,123
Bellatrix Fitness Centre,6.941510,79.880168,Gym,Outdoors & Recreation,92,7
Ascon Food city,6.937590,79.878249,Market,Shop & Service,12,3
Juiceez,6.941419,79.880059,Juice Bar,Food,229,56
CSGi Area,6.940846,79.879813,Coworking Space,Professional & Other Places,45,2
